DR,Ratio
AAOI03,3000
AAOI23,1500
AAPL01,340
AAPL03,3000
AAPL19,1500
AAPL80,1000
ABBV19,1000
ABBV80,1000
ABNB06,1000
ADBE03,4500
ADBE06,4000
ADVANT19,1000
ADVANT23,1477
ADVANT80,1000
AFRM03,800
AIA06,100
AIA19,100
AIA23,130
AIRBUS80,2400
AJINO23,500
AJINO80,300
ALAB01,2300
ALAB23,5000
AMAT01,3600
AMAT19,4000
AMAT23,2500
AMAT80,5500
AMD03,2000
AMD23,2400
AMD80,5000
AMEC80,500
AMGN06,4000
AMKR03,1000
AMKR23,1000
AMPX03,200
AMZN01,340
AMZN03,2000
AMZN06,4000
AMZN19,4000
AMZN23,3000
AMZN80,4000
ANET23,1800
ANET80,1000
ANTA13,170
ANTA23,160
APLD03,300
APPL03,6000
ASEMI23,100
ASEMI24,200
ASICS23,340
ASML01,1200
ASTS01,750
ASTS03,1000
ASTS23,1000
AVGO23,4400
AVGO80,5000
AXP06,4000
BABA01,44
BABA06,100
BABA11,100
BABA13,250
BABA19,250
BABA23,150
BABA80,100
BAC03,500
BDX06,3000
BE03,5000
BE80,2500
BIDU01,44
BIDU06,100
BIDU23,210
BIDU80,100
BILIBILI01,210
BIREN23,25
BKNG03,2400
BKNG80,2000
BKSY03,600
BLK06,10000
BOEING80,1000
BONDAS19,50
BONDUS01,2100
BRKB23,3000
BRKB80,10000
BYDCOM01,440
BYDCOM80,1000
CAMBRI80,1000
CAT19,5000
CAT80,9000
CATL01,440
CATL23,250
CATL80,100
CBRS03,4000
CBRS80,2300
CCJ23,1600
CDNS23,2000
CEG23,4000
CH30080,10
CHAI80,5
CHHONGQ19,10
CHMOBILE19,100
CHMOBILE23,130
CHNEXT80,10
CHNXT5023,1
CHSTAR5080,5
CIEN03,10000
CMBANK23,90
CME03,3000
CN01,10
CN23,4
CNBIO24,200
CNEV24,200
CNRE80,100
CNROBOAI23,100
CNSEMI23,100
CNSTAR5023,1
CNTECH01,1
COHR23,2000
COHR80,1000
